L 06/22/2010 - 20:00:37: Log file started (file "cstrike/addons/amxmodx/configs/csf_anticheat/logs/csf_ac_fastfire.log") (game "cstrike") (amx "1.8.1.3746")
L 06/22/2010 - 20:00:37: FastFire * Nick: <*PK*=>K.O#GGT> , IP: <95.107.77.31> , SteamID: <STEAM_0:4:1527301363> , Ping: <58>
L 04/05/2011 - 19:34:28: FastFire * Nick: <.:E[X]Trime:.> , IP: <90.150.126.66> , SteamID: <STEAM_0:0:493458283> , Ping: <71>
L 04/10/2011 - 12:04:00: FastFire * Nick: <VIRYS> , IP: <94.181.142.90> , SteamID: <STEAM_0:0:1091813297> , Ping: <9>
L 04/10/2011 - 14:40:41: FastFire * Nick: <proW> , IP: <46.191.182.235> , SteamID: <STEAM_0:4:561327819> , Ping: <119>
L 04/12/2011 - 21:36:43: FastFire * Nick: <r name> , IP: <46.187.45.27> , SteamID: <STEAM_0:4:1496886475> , Ping: <170>
L 04/15/2011 - 11:47:00: FastFire * Nick: <bashbabi> , IP: <91.77.165.0> , SteamID: <STEAM_0:0:1835391645> , Ping: <9>
L 04/15/2011 - 11:47:06: FastFire * Nick: <bashbabi> , IP: <91.77.165.0> , SteamID: <STEAM_0:0:1835391645> , Ping: <24>
L 04/16/2011 - 06:35:19: FastFire * Nick: <tpR. * M 0 S C H 1 N 0> , IP: <91.176.211.221> , SteamID: <STEAM_0:0:18691582> , Ping: <28>
L 04/16/2011 - 23:16:35: FastFire * Nick: <penis> , IP: <91.203.168.232> , SteamID: <STEAM_0:0:1367129293> , Ping: <23>
L 04/18/2011 - 16:42:44: FastFire * Nick: <Respect.IzZoCs.CoM - Destroy> , IP: <91.77.217.136> , SteamID: <STEAM_0:0:1835391645> , Ping: <65>
L 04/19/2011 - 14:22:14: FastFire * Nick: <9 pota> , IP: <91.77.212.124> , SteamID: <STEAM_0:0:1835391645> , Ping: <75>
L 04/19/2011 - 14:22:19: FastFire * Nick: <9 pota> , IP: <91.77.212.124> , SteamID: <STEAM_0:0:1835391645> , Ping: <34>
L 04/19/2011 - 14:25:31: FastFire * Nick: <9 pota> , IP: <91.77.212.124> , SteamID: <STEAM_0:0:1835391645> , Ping: <19>
L 04/19/2011 - 14:25:32: FastFire * Nick: <9 pota> , IP: <91.77.212.124> , SteamID: <STEAM_0:0:1835391645> , Ping: <72>
L 04/19/2011 - 15:57:51: FastFire * Nick: <*pro-c9lBA> , IP: <77.244.222.235> , SteamID: <STEAM_0:4:557910906> , Ping: <17>
L 04/20/2011 - 21:09:14: FastFire * Nick: <SiiiiD> , IP: <78.28.80.42> , SteamID: <STEAM_0:4:1099333499> , Ping: <79>
L 04/21/2011 - 15:06:52: FastFire * Nick: <XOXL6I PIDOR6I> , IP: <91.77.219.192> , SteamID: <STEAM_0:0:1835391645> , Ping: <62>
L 04/21/2011 - 15:06:57: FastFire * Nick: <XOXL6I PIDOR6I> , IP: <91.77.219.192> , SteamID: <STEAM_0:0:1835391645> , Ping: <70>
L 04/21/2011 - 15:06:58: FastFire * Nick: <XOXL6I PIDOR6I> , IP: <91.77.219.192> , SteamID: <STEAM_0:0:1835391645> , Ping: <63>
L 04/24/2011 - 16:02:38: FastFire * Nick: <Games pro. | Dmitriy.N* [cl]> , IP: <95.182.55.17> , SteamID: <STEAM_0:0:830887577> , Ping: <20>
L 04/24/2011 - 16:02:39: FastFire * Nick: <Games pro. | Dmitriy.N* [cl]> , IP: <95.182.55.17> , SteamID: <STEAM_0:0:830887577> , Ping: <24>
L 04/24/2011 - 16:02:40: FastFire * Nick: <Games pro. | Dmitriy.N* [cl]> , IP: <95.182.55.17> , SteamID: <STEAM_0:0:830887577> , Ping: <23>
L 04/24/2011 - 16:02:43: FastFire * Nick: <Games pro. | Dmitriy.N* [cl]> , IP: <95.182.55.17> , SteamID: <STEAM_0:0:830887577> , Ping: <21>
L 04/26/2011 - 17:21:17: FastFire * Nick: <Respect.IzZoCs.CoM - Destroy> , IP: <91.77.220.64> , SteamID: <STEAM_0:0:1835391645> , Ping: <75>
L 04/26/2011 - 19:52:23: FastFire * Nick: <GUFIK> , IP: <46.146.190.221> , SteamID: <STEAM_0:4:980498507> , Ping: <48>
L 10/16/2011 - 20:37:49: FastFire * Nick: <FF .:VOLOD'KA:. FF> , IP: <89.239.162.90> , SteamID: <STEAM_0:4:2046756592> , Ping: <60>
